"JS BACH Violin Partita No. 2 in D minor, BWV 1004: IV. Giga (8.570277-78)",['Kiss the Girls (1997))']
"JS BACH Violin Partita No. 2 in D minor, BWV 1004: V. Ciaconna (8.570277-78)",['Beast with Five Fingers (1946))']
"JS BACH Violin Partita No. 3 in E major, BWV 1006: I. Preludio (8.570277-78)",['Truth About Cats and Dogs (The) (1996))']
"JS BACH Violin Partita No. 3 in E major, BWV 1006: III. Gavotte en rondeau (8.570277-78)",['Hunger (The) (1983))']
"JS BACH Violin Sonata No. 1 in G minor, BWV 1001: I. Adagio (8.554422)","['Anniversary Party (2001)', 'Kiss the Girls (1997))']"
"JS BACH Violin Sonata No. 1 in G minor, BWV 1001: IV. Presto (8.554422)",['Sandy Bottom Orchestra (The) (2000))']
"JS BACH Violin Sonata No. 2 in A minor, BWV 1003: I. Grave (8.554422)",['One Night Stand (1997))']
"JS BACH Vor deinen Thron tret ich (Before Thy throne I stand), BWV 668 (8.550927)",['Enigma (2001))']
"Wachet auf, ruft uns die Stimme (Awake, the voice is calling), BWV 140 (BIS 7318599919614","[""Mr Holland's Opus (1995))""]"
"JS BACH Wachet auf! ruft uns die Stimme, BWV 645 (trans. W. Kempff) (Marco Polo 8.223452)",['Call Me by Your Name (2017))']
"JS BACH Was mir behagt, ist nur die muntre Jagd, BWV 208, ""Hunt Cantata"": Schafe konnen sicher weiden from Was mir behagt, ist nur die muntre Jagd (8.550643)","['I Am Sam (2001)', 'Little Women (2019))']"
"BADARZEWSKA-BARANOWSKA The Maiden's Prayer, Op. 4 (8.550141)","['Hi-Lo Country (The) (1998)', 'Wedding Banquet (The) (1993))']"
"BARBER Agnus Dei, Op. 11 (8.559053)","[""Lorenzo's Oil (1992))""]"
"BARBER Adagio for Strings, Op. 11 (8.559088)","['Amelie of Montmartre (1980)', 'Elephant Man (The) (1980)', 'Jagarna (The Hunters) (1996)', 'Kevin and Perry Go Large (2000)', ""Lorenzo's Oil (1992)"", 'Platoon (1986)', 'Roseaux Savages (Les) (1994)', 'S1mOne (Simone) (2002)', 'Scarlet Letter (The) (1995))']"
"BARBER Violin Concerto, Op. 14: II. Andante (8.559044)",['Deep Blue Sea (The) (2011))']
BARRIOS MANGORE La Catedral (8.555718),['Kissing Jessica Stein (2001))']
BARRY Out of Africa: Main title theme (8.570505),['Le talent de mes amis (2015))']
"BARTOK Music for Strings, Percussion and Celesta, Sz. 106 (8.550261)",['Shining (The) (1980))']
"BARTOK Music for Strings, Percussion and Celesta, Sz. 106: II. Allegro (8.550261)",['Being John Malkovich (1999))']
BEETHOVEN 32 Variations in C minor: Variations XXVI and XXVII (8.550676),['Glenn Gould (32 Short Films about) (1993))']
"BEETHOVEN Bagatelle in A minor, WoO 59, ""Fur Elise"" (8.550647)","[""Bill and Ted's Excellent Adventure (1989)"", 'Butcher Boy (The) (1997)', 'Death in Venice (1971)', 'Django Unchained (2012)', 'Fearless (1993)', 'Guilty (The) (2000)', 'Immortal Beloved (1994)', 'Lux in Tenebris (2016)', 'My Life So Far (1999)', 'Nymphomaniac: Vol. II (2013)', 'Or So the Story Goes: Happy Thoughts (2015)', 'Patch Adams (1998)', ""Rosemary's Baby (1968)"", 'Walk (The) (II) (2015)', 'Wrong Box (The) (1966)', 'You Got Served (2004))']"
"BEETHOVEN Bagatelle No. 2 in G minor, Op. 126: Allegro (8.550474)",['Amour (2012))']
"BEETHOVEN Cello Sonata No. 1 in F major, Op. 5, No. 1 (8.550479)",['Horse Whisperer (The) (1998))']
"BEETHOVEN Cello Sonata No. 2 in G minor, Op. 5, No. 2 (8.550479)",['Along Came Polly (2004))']
"BEETHOVEN Christus am Olberge (Christ on the Mount of Olives), Op. 85 (Haenssler Classic CD98.422)",['Immortal Beloved (1994))']
"BEETHOVEN Collin's Coriolan, Op. 62, ""Coriolan Overture"": Overture (8.550072)",['Tangerine (2015))']
"BEETHOVEN Egmont Egmont, Op. 84: Overture (8.557264)","['Lincoln (2012)', 'Sunshine (1999))']"
"BEETHOVEN Fantasia in C minor, Op. 80, ""Choral Fantasy"": Allegretto, ma non troppo (CAvi-music CAvi8553120)",['Oscar and Lucinda (1997))']
BEETHOVEN Fidelio: Mir ist so wunderbar (8.660070-71),['Onegin (1999))']
