COMPOSER composition title,composer(abbrev),composition
"LISZT Schubert - Schwanengesang, S560/R245: No. 7. Standchen (Leise flehen meine Lieder) (8.553062)",LISZT,"Schubert - Schwanengesang, S560/R245: No. 7. Standchen"
"MENDELSSOHN Lieder ohne Worte (Songs without Words): No. 12 in F - Sharp Minor, Op. 30, No. 6, MWV U110, ""Venezianisches Gondellied"" (8.554055)",MENDELSSOHN,Lieder ohne Worte
BERNSTEIN West Side Story: I Feel Pretty (8.559126),BERNSTEIN,West Side Story: I Feel Pretty
MASSENET Thais: Meditation (Dynamic CDS427),MASSENET,Thais: Meditation
"R STRAUSS Der Rosenkavalier (The Knight of the Rose), Op. 59, TrV 227: Marie Theres'!... Hab' mir's gelobt (8.111011-13)",R STRAUSS,Der Rosenkavalier
"PROKOFIEV Peter and the Wolf, Op. 67 (8.550499)",PROKOFIEV,"Peter and the Wolf, Op. 67"
ROSSINI Guillaume Tell (William Tell): Overture (8.550236),ROSSINI,Guillaume Tell
"CHOPIN Waltz No. 9 in A-flat major, Op. 69, No. 1, ""L'adieu"" (8.554539)",CHOPIN,"Waltz No. 9 in A-flat major, Op. 69, No. 1, ""L'adieu"""
"PROKOFIEV Alexander Nevsky, Op. 78: II. Song about Alexander Nevsky (8.555710)",PROKOFIEV,"Alexander Nevsky, Op. 78: II. Song about Alexander Nevsky"
"RACHMANINOV All-Night Vigil, Op. 37, ""Vespers"": Canticle of Simeon (8.555908)",RACHMANINOV,"All-Night Vigil, Op. 37, ""Vespers"": Canticle of Simeon"
"RACHMANINOV Piano Sonata No. 2 in B-flat minor, Op. 36 (8.550349)",RACHMANINOV,"Piano Sonata No. 2 in B-flat minor, Op. 36"
"RACHMANINOV Prelude No. 1 in F-sharp minor, Op. 23: Largo (8.550348)",RACHMANINOV,"Prelude No. 1 in F-sharp minor, Op. 23: Largo"
"R STRAUSS 5 Lieder, Op. 41, TrV 195: No. 1. Wiegenlied (Capriccio C10258)",R STRAUSS,"5 Lieder, Op. 41, TrV 195: No. 1. Wiegenlied"
"R STRAUSS 8 Gedichte aus Letzte Blatter, Op. 10, TrV 141: No. 1. Zueignung (8.570297)",R STRAUSS,"8 Gedichte aus Letzte Blatter, Op. 10, TrV 141: No. 1. Zueignung"
TCHAIKOVSKY Eugene Onegin (8.550924),TCHAIKOVSKY,Eugene Onegin
"TCHAIKOVSKY Swan Lake, Op. 20 (8.550246-47)",TCHAIKOVSKY,"Swan Lake, Op. 20"
"TCHAIKOVSKY Symphony No. 6 in B minor, Op. 74, ""Pathetique"" (8.550782)",TCHAIKOVSKY,"Symphony No. 6 in B minor, Op. 74, ""Pathetique"""
"TCHAIKOVSKY Violin Concerto in D major, Op. 35: I. Allegro moderato (8.550153)",TCHAIKOVSKY,"Violin Concerto in D major, Op. 35: I. Allegro moderato"
"HOLST The Planets, Op. 32: IV. Jupiter (8.555776)",HOLST,"The Planets, Op. 32: IV. Jupiter"
"JS BACH Violin Sonata No. 1 in G minor, BWV 1001: I. Adagio (8.554422)",JS BACH,"Violin Sonata No. 1 in G minor, BWV 1001: I. Adagio"
A MARCELLO Oboe Concerto in D minor: II. Adagio (8.550556),A MARCELLO,Oboe Concerto in D minor: II. Adagio
"JS BACH Cello Suite No. 6 in D major, BWV 1012 (8.557280-81)",JS BACH,"Cello Suite No. 6 in D major, BWV 1012"
SATIE 3 Gymnopedies: Gymnopedie No. 3 (8.550305),SATIE,3 Gymnopedies: Gymnopedie No. 3
"RACHMANINOV Prelude No. 5 in G major, Op. 32: Moderato (8.550466)",RACHMANINOV,"Prelude No. 5 in G major, Op. 32: Moderato"
"JS BACH Cello Suite No. 1 in G major, BWV 1007: I. Prelude (8.557280-81)",JS BACH,"Cello Suite No. 1 in G major, BWV 1007: I. Prelude"
DONIZETTI La figlia del reggimento: Finale (8.660161-62),DONIZETTI,La figlia del reggimento: Finale
MUSSORGSKY Pictures at an Exhibition (8.550051),MUSSORGSKY,Pictures at an Exhibition
PUCCINI Manon Lescaut: L'ho abdandonato (8.660019-20),PUCCINI,Manon Lescaut: L'ho abdandonato
"WAGNER Die Walkure: Hojotoho! Hojotoho! (The Valkyries), ""Ride of the Valkyries"" (8.660172-74)",WAGNER,Die Walkure: Hojotoho! Hojotoho!
"EISLER Kleine Sinfonie, Op. 29: IV. Allegro (Capriccio C10500)",EISLER,"Kleine Sinfonie, Op. 29: IV. Allegro"
"PROKOFIEV Alexander Nevsky, Op. 78: III. The Crusaders in Pskov (8.555710)",PROKOFIEV,"Alexander Nevsky, Op. 78: III. The Crusaders in Pskov"
"PROKOFIEV Alexander Nevsky, Op. 78: V. The Battle on Ice (8.555710)",PROKOFIEV,"Alexander Nevsky, Op. 78: V. The Battle on Ice"
"SHOSTAKOVICH Symphony No. 5 in D minor, Op. 47: II. Allegretto (8.550632)",SHOSTAKOVICH,"Symphony No. 5 in D minor, Op. 47: II. Allegretto"
"VIVALDI Concerto for Two Mandolins [Guitars] in G major, RV 532 (8.553028)",VIVALDI,"Concerto for Two Mandolins [Guitars] in G major, RV 532"
"VIVALDI Mandolin Concerto in C major, RV 425 (Amadis 7239)",VIVALDI,"Mandolin Concerto in C major, RV 425"
WAGNER Tristan und Isolde: Mild und leise wie er lachelt (8.660152-54),WAGNER,Tristan und Isolde: Mild und leise wie er lachelt
WAGNER  Tristan und Isolde: Prelude (8.660152-54),WAGNER,Tristan und Isolde: Prelude
