COMPOSER composition title,composer(abbrev),composition
"CHOPIN	Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funebre (8.554533)",CHOPIN,"Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funebre"
ORFF Carmina Burana: O Fortuna (8.550196),ORFF,Carmina Burana: O Fortuna
"JS BACH Toccata and Fugue in D minor, BWV 565 (8.553859)",JS BACH,"Toccata and Fugue in D minor, BWV 565"
"JS BACH Concerto for 2 Violins in D minor, BWV 1043 (8.550194)",JS BACH,"Concerto for 2 Violins in D minor, BWV 1043"
"RACHMANINOV Moments musicaux, Op. 16 (8.571289)",RACHMANINOV,"Moments musicaux, Op. 16"
"DVORAK Violin Concerto in A minor, Op. 53, B. 96: III. Finale: Allegro giocoso, ma non troppo (8.550758)",DVORAK,"Violin Concerto in A minor, Op. 53, B. 96: III. Finale: Allegro giocoso, ma non troppo"
"JS BACH Toccata and Fugue in D minor, BWV 565: I. Toccata (8.553859)",JS BACH,"Toccata and Fugue in D minor, BWV 565: I. Toccata"
"R STRAUSS Also sprach Zarathustra, Op. 30, TrV 176: I. Also sprach Zarathustra (8.550182)",R STRAUSS,"Also sprach Zarathustra, Op. 30, TrV 176: I. Also sprach Zarathustra"
"MOZART Piano Quartet in E-flat major, K. 493 (8.554274)",MOZART,"Piano Quartet in E-flat major, K. 493"
"CHOPIN Nocturne No. 2 in E-flat major, Op. 9, No. 2 (8.554531)",CHOPIN,"Nocturne No. 2 in E-flat major, Op. 9, No. 2"
ROSSINI Il barbiere di Siviglia (The Barber of Seville): Sinfonia (8.660027-29),ROSSINI,Il barbiere di Siviglia
SHOSTAKOVICH Jazz Suite No. 2 (Suite for Stage Variety Orchestra) (8.555949),SHOSTAKOVICH,Jazz Suite No. 2
ORFF Musica Poetica (Celestial Harmonies 13104-2),ORFF,Musica Poetica
SATIE 3 morceaux en forme de poire (8.550699),SATIE,3 morceaux en forme de poire
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 1 in C major, BWV 846 (8.553796-97)",JS BACH,"The Well-Tempered Clavier Book I: Prelude and Fugue No. 1 in C major, BWV 846"
"VIVALDI The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"" (Autumn): III. Allegro (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"""
"CHOPIN Nocturne No. 6 in G minor, Op. 15, No. 3 (8.554531)",CHOPIN,"Nocturne No. 6 in G minor, Op. 15, No. 3"
"MOZART Piano Concerto No. 23 in A major, K. 488 (8.550204)",MOZART,"Piano Concerto No. 23 in A major, K. 488"
VERDI Rigoletto: Caro nome che il mio cor (8.660013-14),VERDI,Rigoletto: Caro nome che il mio cor
"MOZART Piano Concerto No. 25 in C major, K. 503 (8.550207)",MOZART,"Piano Concerto No. 25 in C major, K. 503"
"MOZART Symphony No. 25 in G minor, K. 183 (8.550113)",MOZART,"Symphony No. 25 in G minor, K. 183"
"SCRIABIN La Poeme de l'extase (The Poem of Ecstasy), Op. 54, ""Symphony No. 4"" (8.553582)",SCRIABIN,La Poeme de l'extase
"JS BACH Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio (8.554606)",JS BACH,"Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio"
HANDEL Harpsichord Suite No. 11: Sarabande (8.550416),HANDEL,Harpsichord Suite No. 11: Sarabande
"MOZART Idomeneo re di Creta, K. 366: March (8.660250-52)",MOZART,"Idomeneo re di Creta, K. 366: March"
PAISIELLO Il barbiere di Siviglia (The Barber of Seville): Saper bramate (Dynamic CDS417),PAISIELLO,Il barbiere di Siviglia
"SCHUBERT Piano Trio in E-flat major, D. 929: II. Andante con moto (8.550132)",SCHUBERT,"Piano Trio in E-flat major, D. 929: II. Andante con moto"
"SCHUBERT 5 German Dances and 7 Trios with Coda, D. 90: No. 1 in C major (Capriccio C10526)",SCHUBERT,"5 German Dances and 7 Trios with Coda, D. 90: No. 1 in C major"
"VIVALDI Cello Concerto in E minor, RV 409: III. Allegro (8.550909)",VIVALDI,"Cello Concerto in E minor, RV 409: III. Allegro"
RAVEL Bolero (8.550501),RAVEL,Bolero
"GORECKI Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"" (8.550822)",GORECKI,"Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"""
VERDI Il Trovatore: D'amor sull'ali rosee vanne (8.660023-24),VERDI,Il Trovatore: D'amor sull'ali rosee vanne
SHOSTAKOVICH Jazz Suite No. 2 (Suite for Stage Variety Orchestra): VI. Waltz 2 (8.555949),SHOSTAKOVICH,Jazz Suite No. 2
"DONIZETTI Lucia di Lammermoor: Appressati, Lucia (8.660255-56)",DONIZETTI,"Lucia di Lammermoor: Appressati, Lucia"
DONIZETTI Lucia di Lammermoor: Soffriva nel pianto (8.660255-56),DONIZETTI,Lucia di Lammermoor: Soffriva nel pianto
MORLEY Now is the month of maying (Dorian Sono Luminus DOR-90015),MORLEY,Now is the month of maying
"HANDEL Keyboard Suite No. 5 in E major, HWV 430: IV. Air and Variations (8.550415)",HANDEL,"Keyboard Suite No. 5 in E major, HWV 430: IV. Air and Variations"
"HANDEL Suite No. 5 in E major: Air with Variations, ""Harmonious Blacksmith"" (8.550107)",HANDEL,"Suite No. 5 in E major: Air with Variations, ""Harmonious Blacksmith"""
"CHOPIN Fantasy-Impromptu in C sharp minor, Op. 66 (8.550362)",CHOPIN,"Fantasy-Impromptu in C sharp minor, Op. 66"
"BRAHMS Piano Sonata No. 3 in F Minor, Op. 5 (8.550352)",BRAHMS,"Piano Sonata No. 3 in F Minor, Op. 5"
"CHOPIN Etude No. 24 in C Minor, Op. 25, No. 12 (8.554528)",CHOPIN,"Etude No. 24 in C Minor, Op. 25, No. 12"
"LISZT 3 etudes de concert, S144/R5: No. 3 in D - Flat Major, ""Un sospiro"" (8.557014)",LISZT,"3 etudes de concert, S144/R5: No. 3 in D - Flat Major, ""Un sospiro"""
"JS BACH Violin Partita No. 2 in D minor, BWV 1004: V. Ciaconna (8.570277-78)",JS BACH,"Violin Partita No. 2 in D minor, BWV 1004: V. Ciaconna"
PACHELBEL Canon in D major (8.550104),PACHELBEL,Canon in D major
"R SCHUMANN Bilder aus Osten, Op. 66 (OehmsClassics OC449)",R SCHUMANN,"Bilder aus Osten, Op. 66"
"MOZART Piano Sonata No. 11 in A major, K. 331 (8.550448)",MOZART,"Piano Sonata No. 11 in A major, K. 331"
"GORECKI	 Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo (8.550822)",GORECKI,"Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo"
"JS BACH Goldberg Variations, BWV 988: Variation 25 (8.550078)",JS BACH,"Goldberg Variations, BWV 988: Variation 25"
"JS BACH Viola da Gamba Sonata in G major, BWV 1027: I. Adagio (8.570210)",JS BACH,"Viola da Gamba Sonata in G major, BWV 1027: I. Adagio"
"BEETHOVEN Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"": III. Rondo (8.550045)",BEETHOVEN,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"": III. Rondo"
"PURCELL Dido and Aeneas, Z. 626 : Overture (8.553108)",PURCELL,"Dido and Aeneas, Z. 626 : Overture"
"J STRAUSS II  Wiener Blut (Vienna Blood), Op. 354 (8.550152)",J STRAUSS II,Wiener Blut
"VIVALDI Concerto for Oboe and Violin in B-flat major, RV 548 (8.550384)",VIVALDI,"Concerto for Oboe and Violin in B-flat major, RV 548"
"BEETHOVEN String Quartet No. 2 in G Major, Op. 18, No. 2 (8.550558)",BEETHOVEN,"String Quartet No. 2 in G Major, Op. 18, No. 2"
DONIZETTI Lucia di Lammermoor: Per te d'immenso giubilo (8.660255-56),DONIZETTI,Lucia di Lammermoor: Per te d'immenso giubilo
"VIVALDI The 4 Seasons: Violin Concerto in E major, Op. 8, No. 1, RV 269, ""La primavera"" (Spring) (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in E major, Op. 8, No. 1, RV 269, ""La primavera"""
"BARTOK Music for Strings, Percussion and Celesta, Sz. 106: II. Allegro (8.550261)",BARTOK,"Music for Strings, Percussion and Celesta, Sz. 106: II. Allegro"
"VERDI La forza del destino: Pace, pace mio Dio! (8.552121-22)",VERDI,"La forza del destino: Pace, pace mio Dio!"
"VIVALDI Oboe Concerto in C major, RV 447: III. Minuetto (8.550860)",VIVALDI,"Oboe Concerto in C major, RV 447: III. Minuetto"
"DVORAK Rusalka, Op. 114: O Silver Moon, ""Song to the Moon"" (8.553166)",DVORAK,"Rusalka, Op. 114: O Silver Moon, ""Song to the Moon"""
GIORDANI Caro mio ben (8.553751),GIORDANI,Caro mio ben
"HAYDN Keyboard Trio No. 25 in G major, Hob.XV:25, ""Gypsy Rondo"" (8.57204)",HAYDN,"Keyboard Trio No. 25 in G major, Hob.XV:25, ""Gypsy Rondo"""
JOPLIN Maple Leaf Rag (8.559114),JOPLIN,Maple Leaf Rag
"PUCCINI Tosca: Vissi d'arte, vissi d'amore (8.660001-02)",PUCCINI,"Tosca: Vissi d'arte, vissi d'amore"
VILLA-LOBOS Bachianas brasileiras No. 5 for Soprano and Cello Ensemble (8.557460-62),VILLA-LOBOS,Bachianas brasileiras No. 5 for Soprano and Cello Ensemble
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068 (8.554609)",JS BACH,Overture
PUCCINI Turandot: Nessun dorma! (8.660089-90),PUCCINI,Turandot: Nessun dorma!
DEBUSSY Reverie (8.553290),DEBUSSY,Reverie
"FAURE Requiem, Op. 48: Libera me (8.550765)",FAURE,"Requiem, Op. 48: Libera me"
DEBUSSY Petite Suite (BIS 7318590005262),DEBUSSY,Petite Suite
"HAYDN Symphony No. 73 in D major, Hob.I:73, ""La chasse"": II. Andante (8.555708)",HAYDN,"Symphony No. 73 in D major, Hob.I:73, ""La chasse"": II. Andante"
"BEETHOVEN Symphony No. 6 in F major, Op. 68, ""Pastoral"": V. Shepherd's song (8.553474)",BEETHOVEN,"Symphony No. 6 in F major, Op. 68, ""Pastoral"": V. Shepherd's song"
"FUCIK Einzug der Gladiatoren (The Entry of the Gladiators), Op. 68, ""Triumph March"" (8.557545)",FUCIK,Einzug der Gladiatoren
OFFENBACH Orphee aux enfers (Orpheus in the Underworld): Can-Can (8.550924),OFFENBACH,Orphee aux enfers
"HAYDN Trumpet Concerto in E-flat major, Hob.VIIe:1: Allegro (8.554806)",HAYDN,"Trumpet Concerto in E-flat major, Hob.VIIe:1: Allegro"
"KORNGOLD Die tote Stadt (The Dead City), Op. 12: Gluck, das mir verblieb (8.660060-61)",KORNGOLD,Die tote Stadt
"MOZART Requiem in D minor, K. 626: Lacrimosa dies illa (8.550235)",MOZART,"Requiem in D minor, K. 626: Lacrimosa dies illa"
"VIVALDI The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"" (Autumn): I. Allegro (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"""
VERDI Falstaff (8.660050-51),VERDI,Falstaff
"BEETHOVEN Bagatelle in A minor, WoO 59, ""Fur Elise"" (8.550647)",BEETHOVEN,"Bagatelle in A minor, WoO 59, ""Fur Elise"""
"SCHUBERT Der Hirt auf dem Felsen, D. 965 (8.553113)",SCHUBERT,"Der Hirt auf dem Felsen, D. 965"
ADAMS Harmonium: No. 3. Wild Nights (Nonesuch 603497121168),ADAMS,Harmonium: No. 3. Wild Nights
ADAMS The Death of Klinghoffer: Chorus of the Exiled Palestinians (Nonesuch 603497098767),ADAM, The Death of Klinghoffer: Chorus of the Exiled Palestinians
MAHLER Ruckert-Lieder: No. 3. Ich bin der Welt abhanden gekommen (8.554156),MAHLER,Ruckert-Lieder: No. 3. Ich bin der Welt abhanden gekommen
MAHLER Symphony No. 9: I. Andante comodo (8.550535-36),MAHLER,Symphony No. 9: I. Andante comodo
"RACHMANINOV Symphony No. 2 in E minor, Op. 27: I. Largo: Allegro moderato (8.55423)",RACHMANINOV,"Symphony No. 2 in E minor, Op. 27: I. Largo: Allegro moderato"
"RACHMANINOV Symphony No. 2 in E minor, Op. 27: II. Allegro molto (8.55423)",RACHMANINOV,"Symphony No. 2 in E minor, Op. 27: II. Allegro molto"
RAVEL Pavane pour une infante defunte (version for orchestra) (8.572887),RAVEL,Pavane pour une infante defunte
RAVEL Piano Trio in A minor: III. Passacaille: Tres large (8.550934),RAVEL,Piano Trio in A minor: III. Passacaille: Tres large
"TCHAIKOVSKY Symphony No. 4 in F minor, Op. 36: II. Andantino in modo di canzona (8.550488)",TCHAIKOVSKY,"Symphony No. 4 in F minor, Op. 36: II. Andantino in modo di canzona"
"TCHAIKOVSKY Symphony No. 5 in E minor, Op. 64: II. Andante cantabile, con alcuna licenza (8.550716)",TCHAIKOVSKY,"Symphony No. 5 in E minor, Op. 64: II. Andante cantabile, con alcuna licenza"
DEBUSSY Arabesque No. 1 (8.553290),DEBUSSY,Arabesque No. 1
"LISZT 19 Hungarian Rhapsodies, S244/R106: No. 2 in C-sharp minor (8.554480)",LISZT,"19 Hungarian Rhapsodies, S244/R106: No. 2 in C-sharp minor"
DE LISLE La Marseillaise (Ondine ODE999-2C),DE LISLE,La Marseillaise
"JS BACH Brandenburg Concerto No. 2 in F major, BWV 1047: II. Andante (8.554607)",JS BACH,"Brandenburg Concerto No. 2 in F major, BWV 1047: II. Andante"
"SHOSTAKOVICH Symphony No. 11 in G minor, Op. 103, ""The Year 1905"" (8.550629)",SHOSTAKOVICH,"Symphony No. 11 in G minor, Op. 103, ""The Year 1905"""
"ELGAR Coronation Ode, Op. 44: No. 7. Land of Hope and Glory (8.553981)",ELGAR,"Coronation Ode, Op. 44: No. 7. Land of Hope and Glory"
"MOZART Horn Concerto No. 4 in E-flat major, K. 495 (8.553592)",MOZART,"Horn Concerto No. 4 in E-flat major, K. 495"
"SIBELIUS Kuolema (Death), Incidental music, Op. 44 (revised version): No. 1. Valse Triste (8.570763)",SIBELIUS,Kuolema
"TCHAIKOVSKY 1812 Overture, Op. 49 (8.555923)",TCHAIKOVSKY,"1812 Overture, Op. 49"
"BIZET Carmen: En vain, pour eviter les reponses ameres (8.660005-07)",BIZET,"Carmen: En vain, pour eviter les reponses ameres"
PARRY Jerusalem (8.553981),PARRY,Jerusalem
KHACHATURIAN Gayane Suite No. 2: VI. Sabre Dance (8.550800),KHACHATURIAN,Gayane Suite No. 2: VI. Sabre Dance
"HANDEL Messiah, HWV 56: Hallelujah! (Chorus) (8.553258)",HANDEL,"Messiah, HWV 56: Hallelujah!"
"CHOPIN Nocturne No. 8 in D-flat major, Op. 27, No. 2 (8.554531)",CHOPIN,"Nocturne No. 8 in D-flat major, Op. 27, No. 2"
"PUCCINI Madame Butterfly: Un bel di, vedremo (8.660015-16)",PUCCINI,"Madame Butterfly: Un bel di, vedremo"
"PUCCINI Turandot: Signore, ascolta! (8.660089-90)",PUCCINI,"Turandot: Signore, ascolta!"
BORODIN String Quartet No. 2 in D major: III. Notturno (8.550850),BORODIN,String Quartet No. 2 in D major: III. Notturno
"JS BACH Cantata, BWV 147: Jesus bleibt meine Freude (8.550642)",JS BACH,"Cantata, BWV 147: Jesus bleibt meine Freude"
"BEETHOVEN Symphony No. 9 in D minor, Op. 125, ""Choral"" (8.553478)",BEETHOVEN,"Symphony No. 9 in D minor, Op. 125, ""Choral"""
BIZET Carmen (8.660005-07),BIZET,Carmen
"GRIEG Peer Gynt Suite No. 1, Op. 46: I. Morning Mood (8.554050)",GRIEG,"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood"
"MOZART Piano Concerto No. 22 in E-flat major, K. 482 (8.550206)",MOZART,"Piano Concerto No. 22 in E-flat major, K. 482"
"BRAHMS Wiegenlied: Guten Abend, gut Nacht, Op. 49, No. 4 (8.553843)",BRAHMS,"Wiegenlied: Guten Abend, gut Nacht, Op. 49, No. 4"
J STRAUSS II Die Fledermaus: Ouverture (8.660017-18),J STRAUSS II,Die Fledermaus: Ouverture
							WALDTEUFEL Herbstweisen (Autumn-Melodies) Waltz,WALDTEUFEL,TEUFEL Herbstweisen
"JS BACH Invention No. 8 in F major, BWV 779 (8.550679)",JS BACH,"Invention No. 8 in F major, BWV 779"
"HAYDN String Quartet No. 43 in G major, Op. 54, No. 1, Hob.III:58: III. Menuetto (8.550395)",HAYDN,"String Quartet No. 43 in G major, Op. 54, No. 1, Hob.III:58: III. Menuetto"
"HANDEL Zadok the Priest, HWV 258: Zadok the Priest (8.557003)",HANDEL,"Zadok the Priest, HWV 258: Zadok the Priest"
"HOLST The Planets, Op. 32: I. Mars (8.555776)",HOLST,"The Planets, Op. 32: I. Mars"
BRAHMS Hungarian Dance No. 5 (8.550110),BRAHMS,Hungarian Dance No. 5
"ELGAR Cello Concerto in E minor, Op. 85: IV. Allegro - Moderato - Allegro ma non troppo (8.550503)",ELGAR,"Cello Concerto in E minor, Op. 85: IV. Allegro - Moderato - Allegro ma non troppo"
"JS BACH Brandenburg Concerto No. 3 in G major, BWV 1048 (8.554607)",JS BACH,"Brandenburg Concerto No. 3 in G major, BWV 1048"
PUCCINI La Boheme: Quando me'n vo' (8.553151),PUCCINI,La Boheme: Quando me'n vo'
"BRITTEN A Ceremony of Carols, Op. 28: Balulalow (8.553183)",BRITTEN,"A Ceremony of Carols, Op. 28: Balulalow"
"BRITTEN A Ceremony of Carols, Op. 28: That Yonge Child (8.553183)",BRITTEN,"A Ceremony of Carols, Op. 28: That Yonge Child"
"FAURE Requiem, Op. 48: Pie Jesu (8.550765)",FAURE,"Requiem, Op. 48: Pie Jesu"
"HANDEL Messiah, HWV 56 (8.553258)",HANDEL,"Messiah, HWV 56"
"MENDELSSOHN Elijah, Op. 70: Denn er hat seinen Engeln befohlen uber dir (8.572228-29)",MENDELSSOHN,"Elijah, Op. 70: Denn er hat seinen Engeln befohlen uber dir"
"RACHMANINOV Prelude in C-sharp minor, Op. 3, No. 2 (8.556682)",RACHMANINOV,"Prelude in C-sharp minor, Op. 3, No. 2"
TALLIS Spem in alium (8.557770),TALLIS,Spem in alium
WAGNER Parsifal: Act 1 - Transformation Music and Final Scene (Dynamic CDS497),WAGNER,Parsifal: Act 1 - Transformation Music and Final Scene
"HANDEL Rinaldo, HWV 7a: Lascia ch'io pianga (8.660165-67)",HANDEL,"Rinaldo, HWV 7a: Lascia ch'io pianga"
"PURCELL O solitude, my sweetest choice, Z. 406 (Oehms Classics OC870)",PURCELL,"O solitude, my sweetest choice, Z. 406"
RAMEAU Pieces de Clavecin: Suite in E minor - major: V. Le Rappel des Oiseaux (8.553047),RAMEAU,Pieces de Clavecin: Suite in E minor - major: V. Le Rappel des Oiseaux
SAINT-SAENS Carnival of the Animals: VII. Aquarium (8.550335),SAINT-SAENS,Carnival of the Animals: VII. Aquarium
"SCHUBERT String Quartet No. 14 in D minor, D. 810, ""Death and the Maiden"" (8.550590)",SCHUBERT,"String Quartet No. 14 in D minor, D. 810, ""Death and the Maiden"""
GRAINGER Irish Tune from County Derry (8.554263),GRAINGER,Irish Tune from County Derry
RODRIGO Concierto de Aranjuez (8.550729),RODRIGO,Concierto de Aranjuez
"MENDELSSOHN Symphony No. 4 in A major, Op. 90, ""Italian"": IV. Saltarello (8.553200)",MENDELSSOHN,"Symphony No. 4 in A major, Op. 90, ""Italian"": IV. Saltarello"
"JS BACH Flute Sonata in E-flat major, BWV 1031: II. Siciliano (8.553754)",JS BACH,"Flute Sonata in E-flat major, BWV 1031: II. Siciliano"
"SHOSTAKOVICH Piano Concerto No. 2 in F major, Op. 102: II. Andante (8.553126)",SHOSTAKOVICH,"Piano Concerto No. 2 in F major, Op. 102: II. Andante"
"JS BACH Brandenburg Concerto No. 6 in B-flat major, BWV 1051: III. Allegro (8.554607)",JS BACH,"Brandenburg Concerto No. 6 in B-flat major, BWV 1051: III. Allegro"
"SAINT-SAENS Samson et Dalila, Op. 47: Mon coeur s'ouvre a ta vox... (8.110063-64)",SAINT-SAENS,"Samson et Dalila, Op. 47: Mon coeur s'ouvre a ta vox..."
"MOZART Divertimento in B-flat major, K. 137, ""Salzburg Symphony No. 2"": III. Allegro assai (8.550108)",MOZART,"Divertimento in B-flat major, K. 137, ""Salzburg Symphony No. 2"": III. Allegro assai"
"RACHMANINOV Piano Concerto No. 2 in C minor, Op. 18: II. Adagio sostenuto (8.550117)",RACHMANINOV,"Piano Concerto No. 2 in C minor, Op. 18: II. Adagio sostenuto"
MAHLER Kindertotenlieder: Nun will die Sonn' so hell aufgeh'n (8.554164),MAHLER,Kindertotenlieder: Nun will die Sonn' so hell aufgeh'n
KETELBEY In a Persian Market (8.553515),KETELBEY,In a Persian Market
"J STRAUSS II Unter Donner und Blitz, Polka schnell, Op. 324 (8.554518)",STRAUSS I,"II Unter Donner und Blitz, Polka schnell, Op. 324"
"JS BACH Cello Suite No. 3 in C major, BWV 1009 (8.557280-81)",JS BACH,"Cello Suite No. 3 in C major, BWV 1009"
"BIZET Les pecheurs de perles (The Pearl Fishers): Leila! Leila! Dieu puissant, le voila! (Dynamic CDS459)",BIZET,Les pecheurs de perles
VERDI Aida (8.660033-34),VERDI,Aida
"VERDI La Traviata: Di Provenza il mar, il suol (8.660011-12)",VERDI,"La Traviata: Di Provenza il mar, il suol"
"VERDI La Traviata: Parigi, o cara (8.660011-12)",VERDI,"La Traviata: Parigi, o cara"
"CHOPIN Nocturne No. 1 in B-flat minor, Op. 9, No. 1 (8.554531)",CHOPIN,"Nocturne No. 1 in B-flat minor, Op. 9, No. 1"
"MOZART Piano Concerto No. 21 in C major, K. 467, ""Elvira Madigan"" (8.550434)",MOZART,"Piano Concerto No. 21 in C major, K. 467, ""Elvira Madigan"""
"MOZART Requiem in D minor, K. 626: Requiem aeternam (8.550235)",MOZART,"Requiem in D minor, K. 626: Requiem aeternam"
"HAYDN String Quartet No. 62 in C major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile (8.550314)",HAYDN,"String Quartet No. 62 in C major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile"
SOUSA The Stars and Stripes Forever (8.559093),SOUSA,The Stars and Stripes Forever
VERDI Rigoletto: Questa o quella per me pari sono (8.660013-14),VERDI,Rigoletto: Questa o quella per me pari sono
TCHAIKOVSKY The Nutcracker: IV. Russian Dance (8.550050),TCHAIKOVSKY,The Nutcracker: IV. Russian Dance
WEILL Die Dreigroschenoper (The Threepenny Opera): Die Moritat von Mackie Messer (The Ballad Of Mack The Knife) (8.120831),WEILL,Die Dreigroschenoper
"BEETHOVEN Piano Sonata No. 3 in C major, Op. 2, No. 3: II. Adagio (8.550150)",BEETHOVEN,"Piano Sonata No. 3 in C major, Op. 2, No. 3: II. Adagio"
"SCHUBERT Laendler D. 790, No. 4 (Capriccio C49242)",SCHUBERT,"Laendler D. 790, No. 4"
"SCHUBERT Nacht und Traume, D. 827 (8.557171)",SCHUBERT,"Nacht und Traume, D. 827"
"SHOSTAKOVICH Prelude No. 2 in A minor, Op. 87: Allegro (8.554745-46)",SHOSTAKOVICH,"Prelude No. 2 in A minor, Op. 87: Allegro"
TRADITIONAL Coventry Carol (8.550589),TRADITIONAL,Coventry Carol
MENDELSSOHN Venezianisches Gondellied (8.550453),MENDELSSOHN,Venezianisches Gondellied
"VIVALDI The 4 Seasons: Violin Concerto in E major, Op. 8, No. 1, RV 269, ""La primavera"" (Spring): II. Largo e pianissimo sempre (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in E major, Op. 8, No. 1, RV 269, ""La primavera"""
ADAMS China Gates (8.559285),ADAMS,China Gates
ADAMS Hallelujah Junction (8.559285),ADAMS,Hallelujah Junction
ADAMS Phrygian Gates (8.559285),ADAMS,Phrygian Gates
"JS BACH Capriccio on the Departure of his Most Beloved Brother, BWV 992 (8.550692)",JS BACH,"Capriccio on the Departure of his Most Beloved Brother, BWV 992"
"JS BACH Wachet auf! ruft uns die Stimme, BWV 645 (trans. W. Kempff) (Marco Polo 8.223452)",JS BACH,"Wachet auf! ruft uns die Stimme, BWV 645"
